# /home/unimelb.edu.au/robertes/src/3.0.4/bin/mrhistogram dwi.mif mrhistogram/masked.txt -mask mask.mif  (version=3.0.4-dirty)
4.5,13.5,22.5,31.5,40.5,49.5,58.5,67.5,76.5,85.5,94.5,103.5,112.5,121.5,130.5,139.5,148.5,157.5,166.5,175.5,184.5,193.5,202.5,211.5,220.5,229.5,238.5,247.5,256.5,265.5,274.5,283.5,292.5,301.5,310.5,319.5,328.5,337.5,346.5,355.5,364.5,373.5,382.5,391.5,400.5,409.5,418.5,427.5,436.5,445.5,454.5,463.5,472.5,481.5,490.5,499.5,508.5,517.5,526.5,535.5,544.5,553.5,562.5,571.5,580.5,589.5,598.5,607.5,616.5,625.5,634.5,643.5,652.5,661.5,670.5,679.5,688.5,697.5,706.5,715.5,724.5,733.5,742.5,751.5,760.5,769.5,778.5,787.5,796.5,805.5,814.5,823.5,832.5,841.5,850.5,859.5,868.5,877.5,886.5,895.5,904.5,913.5,922.5,931.5,940.5,949.5,958.5,967.5,976.5,985.5,994.5,1003.5,1012.5,1021.5,1030.5,1039.5,1048.5,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,6,4,2,4,4,5,3,4,6,3,9,3,8,3,3,3,4,0,4,4,3,2,1,3,3,2,1,1,3,2,0,7,4,0,0,0,2,1,1,1,1,2,0,0,1,1,0,1,2,2,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,3,3,2,1,4,5,3,4,6,2,7,7,4,3,3,5,7,3,2,2,3,3,6,0,0,3,4,3,1,3,2,2,3,2,2,1,1,4,1,1,0,0,1,1,0,1,1,0,0,2,0,2,1,1,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
2,25,25,36,28,28,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,17,29,27,32,19,13,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,13,25,25,29,29,17,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,26,32,37,30,13,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,23,24,35,27,23,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,16,31,37,35,12,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,22,24,37,24,25,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
